filename,avg_r,avg_g,avg_b
gray_bgr_411Q0L3qRGL.jpg,210.52166101694914,210.52166101694914,210.52166101694914
bgr_412CRUiWOYL.jpg,156.20772350230413,148.01059447004607,138.7177004608295
bgr_bgr_412CRUiWOYL.jpg,138.7177004608295,148.01059447004607,156.20772350230413
enh_bgr_412CRUiWOYL.jpg,163.04833640552997,147.229732718894,132.09447004608296
gray_bgr_412CRUiWOYL.jpg,149.40393548387098,149.40393548387098,149.40393548387098
bgr_4134kp5HJFL.jpg,214.4658401084011,220.26492773261066,229.36363369467028
bgr_bgr_4134kp5HJFL.jpg,229.36363369467028,220.26492773261066,214.4658401084011
enh_bgr_4134kp5HJFL.jpg,205.82522470641374,213.58391937669376,228.42685636856368
gray_bgr_4134kp5HJFL.jpg,219.5524514453478,219.5524514453478,219.5524514453478
bgr_415b5m1mXpL.jpg,246.69232122177473,247.63641807208438,249.19355833191705
bgr_bgr_415b5m1mXpL.jpg,249.19355833191705,247.63641807208438,246.69232122177473
enh_bgr_415b5m1mXpL.jpg,243.3681341375208,244.21105276887383,246.21785489844234
gray_bgr_415b5m1mXpL.jpg,247.53150184380792,247.53150184380792,247.53150184380792
bgr_415cR9VWcOL.jpg,130.508792,133.560056,182.19048
bgr_bgr_415cR9VWcOL.jpg,182.19048,133.560056,130.508792
enh_bgr_415cR9VWcOL.jpg,129.88394,133.861804,215.317512
gray_bgr_415cR9VWcOL.jpg,138.20258,138.20258,138.20258
bgr_415ytqP3AEL.jpg,180.34584216988503,180.40342783792835,180.4688335751758
bgr_bgr_415ytqP3AEL.jpg,180.4688335751758,180.40342783792835,180.34584216988503
enh_bgr_415ytqP3AEL.jpg,169.07064516129032,169.0739457528742,169.0709465342114
gray_bgr_415ytqP3AEL.jpg,180.39551065967183,180.39551065967183,180.39551065967183
bgr_416lrh+KnkL.jpg,239.399156640625,239.581719140625,235.2604515625
bgr_bgr_416lrh+KnkL.jpg,235.2604515625,239.581719140625,239.399156640625
enh_bgr_416lrh+KnkL.jpg,230.155044140625,230.520786328125,222.723150390625
gray_bgr_416lrh+KnkL.jpg,239.068046875,239.068046875,239.068046875
bgr_417AozEH93L.jpg,235.7493,237.781113,238.805137
bgr_bgr_417AozEH93L.jpg,238.805137,237.781113,235.7493
enh_bgr_417AozEH93L.jpg,228.737031,230.487732,231.191112
gray_bgr_417AozEH93L.jpg,237.27741,237.27741,237.27741
bgr_417BqZ22llL.jpg,222.030068,226.06036,226.918876
bgr_bgr_417BqZ22llL.jpg,226.918876,226.06036,222.030068
enh_bgr_417BqZ22llL.jpg,216.274176,219.801756,224.328344
gray_bgr_417BqZ22llL.jpg,224.954348,224.954348,224.954348
bgr_417O+Pw4MaL.jpg,224.55066388612238,248.91764507848336,253.72974987570157
bgr_bgr_417O+Pw4MaL.jpg,253.72974987570157,248.91764507848336,224.55066388612238
enh_bgr_417O+Pw4MaL.jpg,218.6132284706539,246.13215417369986,253.87157555864158
gray_bgr_417O+Pw4MaL.jpg,242.18991086360526,242.18991086360526,242.18991086360526
bgr_419DtBXA--L.jpg,195.4624948024948,191.48201247401246,193.17241995841997
bgr_bgr_419DtBXA--L.jpg,193.17241995841997,191.48201247401246,195.4624948024948
enh_bgr_419DtBXA--L.jpg,184.06956756756756,178.74302702702704,180.48221621621622
gray_bgr_419DtBXA--L.jpg,192.86508523908523,192.86508523908523,192.86508523908523
bgr_419XV1WD-WL.jpg,230.9125985489722,230.9125985489722,230.9125985489722
bgr_bgr_419XV1WD-WL.jpg,230.9125985489722,230.9125985489722,230.9125985489722
enh_bgr_419XV1WD-WL.jpg,219.81589117291415,219.81589117291415,219.81589117291415
gray_bgr_419XV1WD-WL.jpg,230.9125985489722,230.9125985489722,230.9125985489722
bgr_41A7LLU44uL.jpg,243.153683,242.942415,245.081074
bgr_bgr_41A7LLU44uL.jpg,245.081074,242.942415,243.153683
enh_bgr_41A7LLU44uL.jpg,238.305256,237.659207,241.426936
gray_bgr_41A7LLU44uL.jpg,243.224625,243.224625,243.224625
bgr_41AJMRjR0JL.jpg,217.89343163538874,215.9791581769437,215.78249865951742
bgr_bgr_41AJMRjR0JL.jpg,215.78249865951742,215.9791581769437,217.89343163538874
enh_bgr_41AJMRjR0JL.jpg,209.68691152815015,206.85508310991958,207.09850402144772
gray_bgr_41AJMRjR0JL.jpg,216.45448793565683,216.45448793565683,216.45448793565683
bgr_41BQjPwL-XL.jpg,211.163192,203.779252,200.326776
bgr_bgr_41BQjPwL-XL.jpg,200.326776,203.779252,211.163192
enh_bgr_41BQjPwL-XL.jpg,200.648376,194.02192,190.837648
gray_bgr_41BQjPwL-XL.jpg,205.594704,205.594704,205.594704
